referrer,views_total,views_unique
Google,49,10
Bing,24,3
github.com,14,3
cdao.pages.jatic.net,7,3
jatic.pages.jatic.net,7,1
dataeval.readthedocs.io,5,2
pypi.org,1,1
code.cdao.us,1,1
