time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-06 00:00:00+00:00,219,32,25,15
2026-01-07 00:00:00+00:00,302,37,15,11
2026-01-08 00:00:00+00:00,110,14,12,10
2026-01-09 00:00:00+00:00,7,3,3,3
2026-01-10 00:00:00+00:00,106,19,6,6
2026-01-11 00:00:00+00:00,99,17,10,5
2026-01-12 00:00:00+00:00,196,33,12,8
2026-01-13 00:00:00+00:00,191,27,12,8
2026-01-14 00:00:00+00:00,153,7,52,15
2026-01-15 00:00:00+00:00,356,48,57,23
2026-01-16 00:00:00+00:00,73,13,2,2
2026-01-17 00:00:00+00:00,29,8,1,1
2026-01-18 00:00:00+00:00,13,9,5,5
2026-01-19 00:00:00+00:00,34,9,7,6
