time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-05 00:00:00+00:00,59,22,6,6
2026-07-06 00:00:00+00:00,65,42,0,0
2026-07-07 00:00:00+00:00,40,17,1,1
2026-07-08 00:00:00+00:00,31,14,1,1
2026-07-09 00:00:00+00:00,30,13,5,5
2026-07-10 00:00:00+00:00,208,30,5,2
2026-07-11 00:00:00+00:00,51,14,2,2
2026-07-12 00:00:00+00:00,26,10,1,1
2026-07-13 00:00:00+00:00,12,8,2,2
2026-07-14 00:00:00+00:00,37,14,3,2
2026-07-15 00:00:00+00:00,8,4,7,7
2026-07-16 00:00:00+00:00,37,13,2,2
2026-07-17 00:00:00+00:00,24,10,13,9
2026-07-18 00:00:00+00:00,12,7,0,0
