time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-31 00:00:00+00:00,10,6,11.0,6.0
2025-04-01 00:00:00+00:00,5,5,26.0,11.0
2025-04-02 00:00:00+00:00,11,10,7.0,7.0
2025-04-03 00:00:00+00:00,15,8,4.0,4.0
2025-04-04 00:00:00+00:00,19,17,33.0,11.0
2025-04-05 00:00:00+00:00,17,12,9.0,4.0
2025-04-06 00:00:00+00:00,6,3,1.0,1.0
2025-04-07 00:00:00+00:00,4,3,17.0,6.0
2025-04-08 00:00:00+00:00,17,14,27.0,6.0
2025-04-09 00:00:00+00:00,23,20,4.0,4.0
2025-04-10 00:00:00+00:00,17,13,38.0,10.0
2025-04-11 00:00:00+00:00,20,13,9.0,6.0
2025-04-12 00:00:00+00:00,4,2,,
2025-04-13 00:00:00+00:00,1,1,,
