url_path,views_total,views_unique
/aria-ml/dataeval,73,55
/aria-ml/dataeval/tree/main/src/dataeval,11,5
/aria-ml/dataeval/tree/main/src,6,5
/aria-ml/dataeval/blob/main/docs/source/reference/glossary.md,5,1
/aria-ml/dataeval/blob/main/pyproject.toml,4,4
/aria-ml/dataeval/tree/main/src/dataeval/extractors,4,1
/aria-ml/dataeval/blob/main/LICENSE,3,1
/aria-ml/dataeval/tree/main/src/dataeval/quality,3,1
/aria-ml/dataeval/blob/main/docs/source/getting-started/which-tool.md,2,2
/aria-ml/dataeval/blob/main/docs/source/reference/FunctionalOverview.md,2,2
