referrer,views_total,views_unique
Google,79,17
cdao.pages.jatic.net,25,7
dataeval.readthedocs.io,16,4
pypi.org,8,3
Bing,4,3
statics.dod.teams.microsoft.us,2,2
github.com,1,1
