time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,49,12,14,2
2026-07-23 00:00:00+00:00,37,9,10,6
2026-07-24 00:00:00+00:00,200,16,4,4
2026-07-25 00:00:00+00:00,46,22,3,3
2026-07-26 00:00:00+00:00,18,9,0,0
2026-07-27 00:00:00+00:00,13,10,47,4
2026-07-28 00:00:00+00:00,30,14,2,1
2026-07-29 00:00:00+00:00,43,16,6,4
2026-07-30 00:00:00+00:00,18,3,8,8
2026-07-31 00:00:00+00:00,169,15,18,3
2026-08-01 00:00:00+00:00,262,22,1,1
2026-08-02 00:00:00+00:00,61,9,0,0
2026-08-03 00:00:00+00:00,3,3,13,13
2026-08-04 00:00:00+00:00,29,17,9,8
