referrer,views_total,views_unique
dataeval.readthedocs.io,39,9
Google,19,9
github.com,15,2
jatic.pages.jatic.net,10,2
cdao.pages.jatic.net,5,4
DuckDuckGo,5,3
Bing,5,1
pypi.org,4,2
github.dev,1,1
searchirc.com,1,1
