time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-19 00:00:00+00:00,92,17,7,3
2026-05-20 00:00:00+00:00,21,10,0,0
2026-05-21 00:00:00+00:00,84,24,2,2
2026-05-22 00:00:00+00:00,113,25,0,0
2026-05-23 00:00:00+00:00,30,14,9,7
2026-05-24 00:00:00+00:00,23,12,5,5
2026-05-25 00:00:00+00:00,214,56,1,1
2026-05-26 00:00:00+00:00,955,155,5,2
2026-05-27 00:00:00+00:00,402,168,9,5
2026-05-28 00:00:00+00:00,233,99,10,4
2026-05-29 00:00:00+00:00,13,7,3,3
2026-05-30 00:00:00+00:00,45,17,3,3
2026-05-31 00:00:00+00:00,27,12,4,4
2026-06-01 00:00:00+00:00,33,17,19,15
