time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,164,27,10,2
2026-08-15 00:00:00+00:00,99,18,0,0
2026-08-16 00:00:00+00:00,177,30,1,1
2026-08-17 00:00:00+00:00,254,26,21,3
2026-08-18 00:00:00+00:00,241,26,25,7
2026-08-19 00:00:00+00:00,412,29,18,1
2026-08-20 00:00:00+00:00,381,36,2,2
2026-08-21 00:00:00+00:00,12,7,10,8
2026-08-22 00:00:00+00:00,188,20,35,1
2026-08-23 00:00:00+00:00,70,9,2,2
2026-08-24 00:00:00+00:00,207,19,59,1
2026-08-25 00:00:00+00:00,43,8,12,10
2026-08-26 00:00:00+00:00,23,7,6,4
2026-08-27 00:00:00+00:00,187,17,14,6
