time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-10 00:00:00+00:00,21,17,3.0,3.0
2025-12-11 00:00:00+00:00,217,37,,
2025-12-12 00:00:00+00:00,43,24,1.0,1.0
2025-12-13 00:00:00+00:00,14,9,,
2025-12-14 00:00:00+00:00,35,20,,
2025-12-15 00:00:00+00:00,15,11,22.0,5.0
2025-12-16 00:00:00+00:00,23,16,9.0,3.0
2025-12-17 00:00:00+00:00,15,10,7.0,2.0
2025-12-18 00:00:00+00:00,16,12,8.0,3.0
2025-12-19 00:00:00+00:00,385,9,1.0,1.0
2025-12-20 00:00:00+00:00,19,7,,
2025-12-21 00:00:00+00:00,10,6,,
2025-12-22 00:00:00+00:00,5,4,2.0,1.0
2025-12-23 00:00:00+00:00,4,4,2.0,2.0
