time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,33,9,11.0,3.0
2025-10-16 00:00:00+00:00,2,2,26.0,6.0
2025-10-17 00:00:00+00:00,45,20,19.0,6.0
2025-10-18 00:00:00+00:00,10,8,14.0,6.0
2025-10-19 00:00:00+00:00,1,1,,
2025-10-20 00:00:00+00:00,19,8,19.0,4.0
2025-10-21 00:00:00+00:00,35,17,6.0,3.0
2025-10-22 00:00:00+00:00,206,37,25.0,9.0
2025-10-23 00:00:00+00:00,10,8,38.0,12.0
2025-10-24 00:00:00+00:00,14,8,16.0,6.0
2025-10-25 00:00:00+00:00,8,6,9.0,4.0
2025-10-26 00:00:00+00:00,11,6,4.0,2.0
2025-10-27 00:00:00+00:00,22,20,28.0,7.0
2025-10-28 00:00:00+00:00,18,7,17.0,6.0
