referrer,views_total,views_unique
Google,69,15
dataeval.readthedocs.io,15,6
cdao.pages.jatic.net,14,5
pypi.org,8,3
Bing,4,3
statics.dod.teams.microsoft.us,2,2
github.com,1,1
