time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-01 00:00:00+00:00,2,2,,
2025-08-02 00:00:00+00:00,2,2,9.0,2.0
2025-08-03 00:00:00+00:00,8,7,8.0,1.0
2025-08-04 00:00:00+00:00,4,3,2.0,2.0
2025-08-05 00:00:00+00:00,3,3,9.0,7.0
2025-08-06 00:00:00+00:00,1,1,58.0,3.0
2025-08-07 00:00:00+00:00,3,3,8.0,6.0
2025-08-08 00:00:00+00:00,15,15,19.0,9.0
2025-08-09 00:00:00+00:00,4,4,,
2025-08-10 00:00:00+00:00,3,3,,
2025-08-11 00:00:00+00:00,9,9,4.0,3.0
2025-08-12 00:00:00+00:00,112,11,11.0,3.0
2025-08-13 00:00:00+00:00,1,1,5.0,2.0
2025-08-14 00:00:00+00:00,10,10,11.0,5.0
