referrer,views_total,views_unique
github.com,45,5
Google,8,3
dataeval.readthedocs.io,5,1
jatic.pages.jatic.net,3,1
Bing,2,1
dataindex.pro,2,1
askboth.com,1,1
soso.com,1,1
teams.public.onecdn.static.microsoft,1,1
word-edit.gov.online.office365.us,1,1
