referrer,views_total,views_unique
Google,72,8
github.com,24,2
dataeval.readthedocs.io,21,6
DuckDuckGo,5,3
Bing,5,1
pypi.org,4,2
jatic.pages.jatic.net,3,1
sitedebusca.com,2,1
