referrer,views_total,views_unique
dataeval.readthedocs.io,16,1
github.com,15,6
Google,13,10
Bing,2,2
jatic.pages.jatic.net,2,1
colab.research.google.com,1,1
cdao.pages.jatic.net,1,1
