time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,34,14,4,3
2026-04-17 00:00:00+00:00,35,10,14,8
2026-04-18 00:00:00+00:00,11,5,26,9
2026-04-19 00:00:00+00:00,66,27,1,1
2026-04-20 00:00:00+00:00,103,48,3,3
2026-04-21 00:00:00+00:00,163,69,13,10
2026-04-22 00:00:00+00:00,218,69,17,9
2026-04-23 00:00:00+00:00,269,97,4,3
2026-04-24 00:00:00+00:00,219,92,2,2
2026-04-25 00:00:00+00:00,137,55,0,0
2026-04-26 00:00:00+00:00,50,17,8,4
2026-04-27 00:00:00+00:00,29,11,27,1
2026-04-28 00:00:00+00:00,27,9,6,3
2026-04-29 00:00:00+00:00,159,37,4,4
