referrer,views_total,views_unique
dataeval.readthedocs.io,28,2
Bing,19,3
jatic.pages.jatic.net,11,3
Google,6,4
github.com,4,2
cdao.pages.jatic.net,2,2
chatgpt.com,1,1
echonimo.com,1,1
lambda.qsensei.com,1,1
