referrer,views_total,views_unique
Google,89,10
dataeval.readthedocs.io,66,12
Bing,19,2
github.com,12,2
cdao.pages.jatic.net,3,2
DuckDuckGo,1,1
jatic.pages.jatic.net,1,1
pypi.org,1,1
redz.com,1,1
searchirc.com,1,1
