time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-25 00:00:00+00:00,10,10,7.0,2.0
2025-08-26 00:00:00+00:00,2,2,2.0,1.0
2025-08-27 00:00:00+00:00,9,4,13.0,13.0
2025-08-28 00:00:00+00:00,8,3,1.0,1.0
2025-08-29 00:00:00+00:00,3,3,6.0,4.0
2025-08-30 00:00:00+00:00,6,6,,
2025-08-31 00:00:00+00:00,8,5,,
2025-09-01 00:00:00+00:00,8,7,,
2025-09-02 00:00:00+00:00,11,10,7.0,4.0
2025-09-03 00:00:00+00:00,14,13,13.0,12.0
2025-09-04 00:00:00+00:00,26,16,,
2025-09-05 00:00:00+00:00,6,3,3.0,3.0
2025-09-06 00:00:00+00:00,4,4,1.0,1.0
2025-09-07 00:00:00+00:00,1,1,,
