time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-21 00:00:00+00:00,17.0,12.0,14,5
2025-04-22 00:00:00+00:00,1.0,1.0,9,6
2025-04-23 00:00:00+00:00,28.0,19.0,16,9
2025-04-24 00:00:00+00:00,185.0,8.0,138,15
2025-04-25 00:00:00+00:00,1.0,1.0,13,5
2025-04-26 00:00:00+00:00,4.0,2.0,6,4
2025-04-27 00:00:00+00:00,2.0,2.0,3,3
2025-04-28 00:00:00+00:00,4.0,4.0,31,5
2025-04-29 00:00:00+00:00,9.0,2.0,7,3
2025-04-30 00:00:00+00:00,10.0,10.0,15,14
2025-05-01 00:00:00+00:00,1.0,1.0,10,6
2025-05-02 00:00:00+00:00,25.0,10.0,61,3
2025-05-03 00:00:00+00:00,8.0,7.0,3,3
2025-05-04 00:00:00+00:00,,,3,3
