time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-06 00:00:00+00:00,6,5,16,6
2025-06-07 00:00:00+00:00,6,4,4,4
2025-06-08 00:00:00+00:00,6,3,1,1
2025-06-09 00:00:00+00:00,5,2,25,4
2025-06-10 00:00:00+00:00,101,7,4,4
2025-06-11 00:00:00+00:00,21,19,16,12
2025-06-12 00:00:00+00:00,20,19,4,3
2025-06-13 00:00:00+00:00,24,23,7,6
2025-06-14 00:00:00+00:00,25,8,5,5
2025-06-15 00:00:00+00:00,5,5,1,1
2025-06-16 00:00:00+00:00,2,2,10,5
2025-06-17 00:00:00+00:00,15,15,21,3
2025-06-18 00:00:00+00:00,3,3,16,7
2025-06-19 00:00:00+00:00,6,6,30,3
