time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,30,14,2,1
2026-07-29 00:00:00+00:00,43,16,6,4
2026-07-30 00:00:00+00:00,18,3,8,8
2026-07-31 00:00:00+00:00,169,15,18,3
2026-08-01 00:00:00+00:00,262,22,1,1
2026-08-02 00:00:00+00:00,61,9,0,0
2026-08-03 00:00:00+00:00,3,3,13,13
2026-08-04 00:00:00+00:00,29,17,9,8
2026-08-05 00:00:00+00:00,64,16,0,0
2026-08-06 00:00:00+00:00,4,4,2,2
2026-08-07 00:00:00+00:00,23,13,7,3
2026-08-08 00:00:00+00:00,21,7,1,1
2026-08-09 00:00:00+00:00,5,3,0,0
2026-08-10 00:00:00+00:00,297,21,4,4
