time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-14 00:00:00+00:00,3,3,35.0,21.0
2025-07-15 00:00:00+00:00,8,8,12.0,12.0
2025-07-16 00:00:00+00:00,1,1,16.0,14.0
2025-07-17 00:00:00+00:00,479,3,13.0,4.0
2025-07-18 00:00:00+00:00,4,4,1.0,1.0
2025-07-19 00:00:00+00:00,1,1,8.0,2.0
2025-07-20 00:00:00+00:00,5,5,,
2025-07-21 00:00:00+00:00,12,12,14.0,1.0
2025-07-22 00:00:00+00:00,5,5,19.0,12.0
2025-07-23 00:00:00+00:00,3,3,8.0,7.0
2025-07-24 00:00:00+00:00,11,11,5.0,2.0
2025-07-25 00:00:00+00:00,9,9,33.0,4.0
2025-07-26 00:00:00+00:00,7,7,1.0,1.0
2025-07-27 00:00:00+00:00,9,3,,
