referrer,views_total,views_unique
dataeval.readthedocs.io,60,14
jatic.pages.jatic.net,23,3
Google,18,8
github.com,11,4
DuckDuckGo,3,1
agent55.com,1,1
cdao.pages.jatic.net,1,1
sogou.com,1,1
statics.teams.cdn.office.net,1,1
