referrer,views_total,views_unique
Google,90,12
dataeval.readthedocs.io,21,6
jatic.pages.jatic.net,14,2
code.cdao.us,12,2
cdao.pages.jatic.net,5,5
Bing,5,2
github.com,4,3
wiki.morsecorp.com,3,1
dataeval.ai,1,1
m.baidu.com,1,1
