time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-12 00:00:00+00:00,26,10,1,1
2026-07-13 00:00:00+00:00,12,8,2,2
2026-07-14 00:00:00+00:00,37,14,3,2
2026-07-15 00:00:00+00:00,8,4,7,7
2026-07-16 00:00:00+00:00,37,13,2,2
2026-07-17 00:00:00+00:00,24,10,13,9
2026-07-18 00:00:00+00:00,12,7,0,0
2026-07-19 00:00:00+00:00,8,5,1,1
2026-07-20 00:00:00+00:00,20,6,6,5
2026-07-21 00:00:00+00:00,87,16,1,1
2026-07-22 00:00:00+00:00,49,12,14,2
2026-07-23 00:00:00+00:00,37,9,10,6
2026-07-24 00:00:00+00:00,200,16,4,4
2026-07-25 00:00:00+00:00,46,22,3,3
