time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,59,14,13,7
2026-04-09 00:00:00+00:00,166,26,12,12
2026-04-10 00:00:00+00:00,226,24,13,8
2026-04-11 00:00:00+00:00,29,14,8,3
2026-04-12 00:00:00+00:00,20,8,0,0
2026-04-13 00:00:00+00:00,73,22,31,5
2026-04-14 00:00:00+00:00,35,13,105,7
2026-04-15 00:00:00+00:00,216,40,39,15
2026-04-16 00:00:00+00:00,34,14,4,3
2026-04-17 00:00:00+00:00,35,10,14,8
2026-04-18 00:00:00+00:00,11,5,26,9
2026-04-19 00:00:00+00:00,66,27,1,1
2026-04-20 00:00:00+00:00,103,48,3,3
2026-04-21 00:00:00+00:00,163,69,13,10
