referrer,views_total,views_unique
dataeval.readthedocs.io,122,9
Bing,70,3
github.com,32,4
Google,30,12
linkedin.com,10,7
com.linkedin.android,2,2
DuckDuckGo,2,1
pypi.org,2,1
behjoo.com,1,1
cdao.pages.jatic.net,1,1
