referrer,views_total,views_unique
Google,70,16
cdao.pages.jatic.net,26,7
pypi.org,8,3
dataeval.readthedocs.io,7,4
Bing,4,3
statics.dod.teams.microsoft.us,2,2
github.com,1,1
