referrer,views_total,views_unique
dataeval.readthedocs.io,57,14
Google,34,10
github.com,10,5
cdao.pages.jatic.net,6,2
linkedin.com,3,3
DuckDuckGo,3,2
Bing,1,1
goofram.com,1,1
perplexity.ai,1,1
seeaarch.com,1,1
