time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-30 00:00:00+00:00,7,4,4,2
2025-03-31 00:00:00+00:00,10,6,11,6
2025-04-01 00:00:00+00:00,5,5,26,11
2025-04-02 00:00:00+00:00,11,10,7,7
2025-04-03 00:00:00+00:00,15,8,4,4
2025-04-04 00:00:00+00:00,19,17,33,11
2025-04-05 00:00:00+00:00,17,12,9,4
2025-04-06 00:00:00+00:00,6,3,1,1
2025-04-07 00:00:00+00:00,4,3,17,6
2025-04-08 00:00:00+00:00,17,14,27,6
2025-04-09 00:00:00+00:00,23,20,4,4
2025-04-10 00:00:00+00:00,17,13,38,10
2025-04-11 00:00:00+00:00,20,13,9,6
