time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,9,5,31,5
2025-03-04 00:00:00+00:00,11,9,23,14
2025-03-05 00:00:00+00:00,14,7,13,5
2025-03-06 00:00:00+00:00,19,12,14,4
2025-03-07 00:00:00+00:00,9,4,1,1
2025-03-08 00:00:00+00:00,5,2,3,2
2025-03-09 00:00:00+00:00,2,2,1,1
2025-03-10 00:00:00+00:00,13,9,9,3
2025-03-11 00:00:00+00:00,22,16,46,11
2025-03-12 00:00:00+00:00,25,18,5,5
2025-03-13 00:00:00+00:00,10,8,4,3
2025-03-14 00:00:00+00:00,16,12,3,3
2025-03-15 00:00:00+00:00,11,7,11,4
