time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,26,15,9,8
2025-01-31 00:00:00+00:00,25,17,14,7
2025-02-01 00:00:00+00:00,18,14,1,1
2025-02-02 00:00:00+00:00,4,2,12,9
2025-02-03 00:00:00+00:00,7,5,33,15
2025-02-04 00:00:00+00:00,8,4,53,7
2025-02-05 00:00:00+00:00,16,12,35,10
2025-02-06 00:00:00+00:00,28,13,15,7
2025-02-07 00:00:00+00:00,46,26,29,9
2025-02-08 00:00:00+00:00,13,8,4,4
2025-02-09 00:00:00+00:00,5,2,4,3
2025-02-10 00:00:00+00:00,5,2,33,12
2025-02-11 00:00:00+00:00,1,1,7,3
