referrer,views_total,views_unique
Google,5,3
jatic.pages.jatic.net,5,1
Bing,4,1
dataeval.readthedocs.io,3,2
cdao.pages.jatic.net,1,1
com.linkedin.android,1,1
hakia.com,1,1
