time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,12,7,10,8
2026-08-22 00:00:00+00:00,188,20,35,1
2026-08-23 00:00:00+00:00,70,9,2,2
2026-08-24 00:00:00+00:00,207,19,59,1
2026-08-25 00:00:00+00:00,43,8,12,10
2026-08-26 00:00:00+00:00,23,7,6,4
2026-08-27 00:00:00+00:00,187,17,14,6
2026-08-28 00:00:00+00:00,181,17,59,1
2026-08-29 00:00:00+00:00,8,4,4,3
2026-08-30 00:00:00+00:00,29,14,2,2
2026-08-31 00:00:00+00:00,127,21,5,4
2026-09-01 00:00:00+00:00,227,24,8,7
2026-09-02 00:00:00+00:00,74,16,7,3
2026-09-03 00:00:00+00:00,76,19,10,4
