referrer,views_total,views_unique
Bing,21,1
Google,18,10
dataeval.readthedocs.io,4,4
usc-word-edit.officeapps.live.com,2,2
cdao.pages.jatic.net,1,1
findsounds.com,1,1
github.com,1,1
linkedin.com,1,1
matlasn01.eadscasa.casa.corp,1,1
webfetch.com,1,1
