referrer,views_total,views_unique
Google,67,13
cdao.pages.jatic.net,23,9
dataeval.readthedocs.io,14,2
github.com,5,5
Bing,3,3
linkedin.com,2,2
gbc-word-edit.officeapps.live.com,1,1
