time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,73,29,19.0,3.0
2025-12-02 00:00:00+00:00,60,33,107.0,8.0
2025-12-03 00:00:00+00:00,185,62,26.0,3.0
2025-12-04 00:00:00+00:00,26,19,9.0,4.0
2025-12-05 00:00:00+00:00,33,24,70.0,5.0
2025-12-06 00:00:00+00:00,15,9,3.0,2.0
2025-12-07 00:00:00+00:00,6,6,6.0,2.0
2025-12-08 00:00:00+00:00,23,15,9.0,4.0
2025-12-09 00:00:00+00:00,48,19,3.0,3.0
2025-12-10 00:00:00+00:00,21,17,3.0,3.0
2025-12-11 00:00:00+00:00,217,37,,
2025-12-12 00:00:00+00:00,43,24,1.0,1.0
2025-12-13 00:00:00+00:00,14,9,,
2025-12-14 00:00:00+00:00,28,17,,
