time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,19,8,17.0,6.0
2025-10-29 00:00:00+00:00,18,15,20.0,7.0
2025-10-30 00:00:00+00:00,15,7,2.0,2.0
2025-10-31 00:00:00+00:00,21,7,6.0,6.0
2025-11-01 00:00:00+00:00,16,8,21.0,6.0
2025-11-02 00:00:00+00:00,21,6,,
2025-11-03 00:00:00+00:00,9,7,20.0,9.0
2025-11-04 00:00:00+00:00,23,11,10.0,5.0
2025-11-05 00:00:00+00:00,25,16,1.0,1.0
2025-11-06 00:00:00+00:00,23,13,10.0,4.0
2025-11-07 00:00:00+00:00,26,15,1.0,1.0
2025-11-08 00:00:00+00:00,32,9,23.0,5.0
2025-11-09 00:00:00+00:00,18,7,11.0,8.0
2025-11-10 00:00:00+00:00,22,6,29.0,8.0
