time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-04 00:00:00+00:00,26,19,9.0,4.0
2025-12-05 00:00:00+00:00,33,24,70.0,5.0
2025-12-06 00:00:00+00:00,15,9,3.0,2.0
2025-12-07 00:00:00+00:00,6,6,6.0,2.0
2025-12-08 00:00:00+00:00,23,15,9.0,4.0
2025-12-09 00:00:00+00:00,48,19,3.0,3.0
2025-12-10 00:00:00+00:00,21,17,3.0,3.0
2025-12-11 00:00:00+00:00,217,37,,
2025-12-12 00:00:00+00:00,43,24,1.0,1.0
2025-12-13 00:00:00+00:00,14,9,,
2025-12-14 00:00:00+00:00,35,20,,
2025-12-15 00:00:00+00:00,15,11,22.0,5.0
2025-12-16 00:00:00+00:00,23,16,9.0,3.0
2025-12-17 00:00:00+00:00,8,7,7.0,2.0
