time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,28,12,12,6
2026-06-13 00:00:00+00:00,47,19,4,4
2026-06-14 00:00:00+00:00,60,15,0,0
2026-06-15 00:00:00+00:00,47,12,24,3
2026-06-16 00:00:00+00:00,35,14,6,3
2026-06-17 00:00:00+00:00,51,16,1,1
2026-06-18 00:00:00+00:00,182,33,42,6
2026-06-19 00:00:00+00:00,115,25,1,1
2026-06-20 00:00:00+00:00,158,40,21,4
2026-06-21 00:00:00+00:00,49,15,5,3
2026-06-22 00:00:00+00:00,48,16,2,2
2026-06-23 00:00:00+00:00,114,27,1,1
2026-06-24 00:00:00+00:00,241,37,20,6
2026-06-25 00:00:00+00:00,201,39,7,6
